"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"1",100,0.701525446699573,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"2",100,1.0104952403713,"aipw","extended","forest",0.136492767211959,0.00363736832644337,0.226615556170873,0.0306971728941572,-0.0077168046835011,0.0128712775557661
"3",100,0.841666394648968,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"4",100,1.27508155258809,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"5",100,0.938198346750779,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"6",100,1.02022687316317,"aipw.w","extended","forest",0.141176876112863,0.00393689398837335,0.242517253257908,0.022428971766137,-0.00790720343901246,0.00300799412706718
"7",100,0.940404930083718,"aipw","smart","forest",0.156922559343702,-0.0127174336760291,0.206765014234616,0.0238446426316701,-0.00793051431104853,-0.00722271729628378
"8",100,0.885581995892854,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"9",100,1.34552242904449,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"10",100,0.921629835120759,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"11",100,0.926600427818812,"aipw.w","smart","forest",0.149983946548863,-0.00691593049612166,0.186588730783485,0.0294708967607993,-0.00749590588372288,-0.00839940638300285
"12",100,0.806985802249759,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"13",100,0.801505565595017,"aipw","minimal","forest",0.251559983937312,-0.0048950400000131,0.197902261658001,0.0689482599900561,-0.00753022322523851,-0.00574097201820017
"14",100,0.725374196472739,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"15",100,1.36088091575987,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"16",100,0.929852519882585,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"17",100,0.812145974463479,"aipw.w","minimal","forest",0.276195919426445,-0.00894589226165563,0.236727845626039,0.0752801039274844,-0.00759575114663758,0.0011580124918259
"18",100,1.15606734410253,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"19",100,1.02149497957608,"aipw","extended","forest",0.0581549625089963,-0.00979104554567404,0.0853802429782589,0.0539220913124475,-0.00783165097709028,0.0594155501523044
"20",100,1.13811815661447,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"21",100,1.18339889719226,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"22",100,0.988776240266959,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"23",100,1.04029308415316,"aipw.w","extended","forest",0.0566191078918828,-0.0100785513999608,0.0943352699481341,0.0535799885311556,-0.00775712780223072,0.0675936530405331
"24",100,1.03465291765022,"aipw","smart","forest",0.0565580772052547,-0.0118061269809164,0.077155188880709,0.0573914898963796,-0.00927567248580264,0.0861301585481386
"25",100,1.15537415749375,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"26",100,1.0734039298754,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"27",100,0.985317137323004,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"28",100,1.01331905351246,"aipw.w","smart","forest",0.0601840699568637,-0.0113253402044671,0.0577993984396123,0.0525073995049685,-0.00954199665076305,0.082679524600187
"29",100,1.29647614892607,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"30",100,1.10067426089147,"aipw","minimal","forest",-0.0220393684267856,-0.0110335602879108,0.0292021389949102,-0.0234397608068803,-0.00941456587448801,0.0400421820355651
"31",100,1.10439823760149,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"32",100,1.1605121715194,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"33",100,0.985950810627324,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"34",100,1.10563343607232,"aipw.w","minimal","forest",-0.0355545748434137,-0.0117218728786805,0.0219663339347155,-0.0236881093474965,-0.00950344650732171,0.039250800542974
"35",100,0.955580771382463,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"36",100,0.920693357077913,"aipw","extended","forest",-0.322831735387848,0.00423949984043281,-0.212271610237467,-0.0316380780695962,-0.0103797531782948,0.000363406186196503
"37",100,0.989691684655285,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"38",100,1.35353764715594,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"39",100,0.778131747671739,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"40",100,0.924188505000699,"aipw.w","extended","forest",-0.321928075270405,0.00438087588324274,-0.208034918006251,-0.034666573132072,-0.0104150175248277,-0.00260908476354301
"41",100,0.868379154488579,"aipw","smart","forest",-0.321764845464803,0.00988351997566745,-0.267133487655187,-0.0383185010261901,-0.00644357507637473,-0.0122826502561207
"42",100,0.983640415427954,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"43",100,0.897597614073166,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"44",100,0.787711945908894,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"45",100,0.853744835317528,"aipw.w","smart","forest",-0.335465061670857,0.0113603042541786,-0.299943339013746,-0.037194164321544,-0.00689255099735918,-0.00771080592754732
"46",100,0.696814334985717,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"47",100,0.862552933171182,"aipw","minimal","forest",-0.319445012357952,0.0128457008662496,-0.295699777779709,-0.0635686763194961,-0.00631429249303916,-0.0155643871093689
"48",100,0.939085089826213,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"49",100,0.865890530853561,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"50",100,0.790803409382812,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"51",100,0.880977373911503,"aipw.w","minimal","forest",-0.32154734675451,0.011723557329161,-0.282545829246055,-0.0619461380837245,-0.0068626610403316,-0.00910317897910712
"52",100,1.23737324057856,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"53",100,1.1775737236284,"aipw","extended","forest",-0.0865400871465364,-0.0097851404326523,0.237254056753167,-0.103935566630056,0.0118576446417508,-0.0114397739949316
"54",100,1.16656210256217,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"55",100,1.35677433951882,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"56",100,0.761283787093574,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"57",100,1.17534285943954,"aipw.w","extended","forest",-0.0790501005473521,-0.00951629862002982,0.241824064265902,-0.0991052719607778,0.0117377501025419,-0.00606931170147876
"58",100,1.13870975094251,"aipw","smart","forest",-0.0753421941129191,-0.0183170536878956,0.25375684030733,-0.0975927655091332,0.0114997581224372,-0.0403760363058858
"59",100,1.14848861165252,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"60",100,1.47863194966961,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"61",100,0.752393987319018,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"62",100,1.11396945057599,"aipw.w","smart","forest",-0.0757063244733466,-0.0150672016953169,0.225451143956934,-0.0992250103140473,0.0116193297574528,-0.0421764391149497
"63",100,0.94298884714347,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"64",100,1.09135128568255,"aipw","minimal","forest",-0.167959931213579,-0.0164965531852157,0.10909596289551,-0.149034186031917,0.0111152736597644,-0.0885687978174797
"65",100,1.08548289244718,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"66",100,1.44470458688057,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"67",100,0.753830003359025,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"68",100,1.08982091380771,"aipw.w","minimal","forest",-0.165334082635628,-0.0146603668960201,0.105638442682547,-0.155253471059164,0.0115340441500272,-0.092490042708115
"69",100,0.710434594080112,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"70",100,0.751312047330817,"aipw","extended","forest",-0.192736981712246,0.000453564355359678,-0.157134231990184,-0.0162879704297615,0.0118325535601975,-0.00615661302381344
"71",100,0.767729174367179,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"72",100,0.748781694150231,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"73",100,0.705577940202807,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"74",100,0.753896912258698,"aipw.w","extended","forest",-0.20374534995794,0.000632697865873152,-0.16544672749577,-0.0138370221005594,0.0119321028479679,-0.00409535530512261
"75",100,0.692064340228899,"aipw","smart","forest",-0.197906710502212,0.000526297438261529,-0.216528966862625,-0.0138070266256719,0.0108494068642259,-0.00778795662609709
"76",100,0.760443096348811,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"77",100,0.778416957415932,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"78",100,0.704667526589737,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"79",100,0.709854253849384,"aipw.w","smart","forest",-0.207384334163263,-0.000461301425684839,-0.206625270306203,-0.0148643151205303,0.0107359824791987,-0.00933562846896999
"80",100,0.631715819640461,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"81",100,0.684524104585011,"aipw","minimal","forest",-0.104441543317639,-0.000189308216973224,-0.144816319295226,-0.101657045686303,0.0105455946468757,-0.0804062738408574
"82",100,0.729717674786343,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"83",100,0.674124294622319,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"84",100,0.703648108717152,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"85",100,0.693267472339253,"aipw.w","minimal","forest",-0.0979405880682706,0.000630958928365476,-0.136302084427432,-0.104643549336648,0.0106406674949778,-0.0775780293488263
"86",100,1.18357448966709,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"87",100,0.979134159844815,"aipw","extended","forest",-0.344721438620463,0.00779791238595267,-0.204494714993203,0.0222249086829034,0.00604149551019242,0.0665609828342067
"88",100,1.01120191374988,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"89",100,1.11258465839208,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"90",100,0.794571362066252,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"91",100,0.981551676620199,"aipw.w","extended","forest",-0.344000385734856,0.006324732704759,-0.193958166807011,0.0232175153383711,0.00643518561067897,0.0612351005451806
"92",100,0.734997709504745,"aipw","smart","forest",-0.356147432939341,0.0113391269093357,-0.434171450471216,0.020874643153587,0.0076678731827048,0.0341574159280589
"93",100,1.03574064490394,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"94",100,0.890802009804544,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"95",100,0.799738954262148,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"96",100,0.734481094491978,"aipw.w","smart","forest",-0.332608539943657,0.00980555830840432,-0.41441055987195,0.0200507790954942,0.00741752271382445,0.0383788583234292
"97",100,0.797353771723304,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"98",100,0.74031738200274,"aipw","minimal","forest",-0.239498433848112,0.0102967586178092,-0.304446725416818,0.0112964589433352,0.00769900332035495,0.0178344164065104
"99",100,0.936382041663851,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"100",100,0.895733312829701,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"101",100,0.798727716108271,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"102",100,0.739831447490035,"aipw.w","minimal","forest",-0.232280844383202,0.0117984905292628,-0.299227115551106,0.011179676429921,0.00750637986114071,0.0179205705273503
"103",100,0.81145411110364,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"104",100,0.804545166186446,"aipw","extended","forest",0.066192472221687,0.00674904522138258,0.132727580552792,-0.0340279720254,-0.00377657227621495,-0.0159718470423522
"105",100,0.920262817372226,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"106",100,0.992544368543231,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"107",100,0.719953932872294,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"108",100,0.809233215717259,"aipw.w","extended","forest",0.0572991945908886,0.00694027617929505,0.129891490604281,-0.0393407090082796,-0.00371470924914466,-0.0229068161616893
"109",100,0.840413194398445,"aipw","smart","forest",0.0639167019167208,0.00965957347528823,0.164910655419393,-0.0363210200656286,-0.00250015357947103,-0.0210426589927984
"110",100,0.928224004865072,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"111",100,0.890445716858769,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"112",100,0.724140879822943,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"113",100,0.830343862368872,"aipw.w","smart","forest",0.0701093492034191,0.0112344231105142,0.159276217312186,-0.0385127262011699,-0.00259168308288794,-0.0229599318958174
"114",100,0.882406176336918,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"115",100,0.945946231339764,"aipw","minimal","forest",0.0341620880958394,0.0113450035580109,0.192227323377748,-0.0941666681069158,-0.00266368736270876,-0.0319484481714885
"116",100,0.975258537796132,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"117",100,0.927116248269871,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"118",100,0.725662776122428,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"119",100,0.932076302888607,"aipw.w","minimal","forest",0.026640153294796,0.0106306002584911,0.17535986877311,-0.0893964385654672,-0.00245207367834902,-0.0311998376624424
"120",100,0.764630192606987,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"121",100,0.751728885026505,"aipw","extended","forest",0.206586283489485,-0.0163484120740497,0.203258182658724,0.00864743886941279,0.0165581429681809,0.0211113940387672
"122",100,0.780527486980485,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"123",100,0.846511961828398,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"124",100,0.742593030687911,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"125",100,0.772649171999255,"aipw.w","extended","forest",0.216422802731586,-0.0167286217461227,0.231455721578226,0.00331438725585337,0.0166502493163649,0.0186257130444458
"126",100,0.581734187417392,"aipw","smart","forest",0.200912732650083,-0.0140804319039625,0.0507490235867717,0.0134878524750703,0.0153979911280509,0.00168488993790564
"127",100,0.811675218920004,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"128",100,0.518695526395271,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"129",100,0.743700859017868,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"130",100,0.562210797638955,"aipw.w","smart","forest",0.238046969556046,-0.011910388792481,0.0717907676766991,0.0116050675629282,0.0155509980178922,-0.00595184193796075
"131",100,0.45697542903533,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"132",100,0.543397968467871,"aipw","minimal","forest",0.193229956899662,-0.0099539665004553,0.0383342338791108,-0.00736416122613958,0.0152233310614364,-0.0567231340924779
"133",100,0.612771358510366,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"134",100,0.4869051692982,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"135",100,0.747652664354761,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"136",100,0.542150534686708,"aipw.w","minimal","forest",0.20297623124161,-0.0105872541631187,0.0458465848405386,-0.00711704497870917,0.015142432608458,-0.0547753421300489
"137",100,1.4239426082863,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"138",100,1.55214013114432,"aipw","extended","forest",-0.754477278761873,0.0227676597400167,-0.23206365971444,-0.171644771974098,-0.0146154534714582,0.0443256524745972
"139",100,1.53200548237832,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"140",100,1.66007473139224,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"141",100,0.813756087648189,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"142",100,1.56318839620015,"aipw.w","extended","forest",-0.752524354493987,0.0236183867071108,-0.22299348036301,-0.171611909337842,-0.0150937221308917,0.0479170667754776
"143",100,1.48451279587064,"aipw","smart","forest",-0.74268729701539,0.0195310520753675,-0.25206158327293,-0.16981869286052,-0.0174428758388288,0.0163763316514921
"144",100,1.52582946810602,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"145",100,1.45964366439977,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"146",100,0.807692057616169,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"147",100,1.49244887559311,"aipw.w","smart","forest",-0.739130172726774,0.0188204295983348,-0.242417656155268,-0.171503491571553,-0.0173448330186243,0.0171533894907066
"148",100,1.34018531686587,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"149",100,1.4448973233919,"aipw","minimal","forest",-0.727538157334133,0.0202612868192909,-0.284855529274681,-0.176904073181476,-0.0176042404040854,0.0170496943561347
"150",100,1.46263319880856,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"151",100,1.49525372907214,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"152",100,0.808260927794836,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"153",100,1.43068335338729,"aipw.w","minimal","forest",-0.738926647295379,0.0192676631468839,-0.309875316072155,-0.179125559966799,-0.0181982491976426,0.0158331668683983
"154",100,0.944089270058049,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"155",100,0.949933259887724,"aipw","extended","forest",0.0961611157970446,-0.0308567991815199,0.140395314603048,-0.0766345314357856,-0.00619556430569471,-0.0592119906654918
"156",100,0.971369528933025,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"157",100,1.03071344006829,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"158",100,0.888276520311427,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"159",100,0.952114362877697,"aipw.w","extended","forest",0.104682234336088,-0.0314552227761306,0.142441256413808,-0.0795570073007827,-0.00526864061915208,-0.0538066869041644
"160",100,1.15597263680426,"aipw","smart","forest",0.09660061944649,-0.0313911908492179,0.346694129642843,-0.082047381140111,-0.00591863305560678,-0.0641873144260246
"161",100,0.939002445331423,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"162",100,1.66256117446427,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"163",100,0.888019059893817,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"164",100,1.10124370464585,"aipw.w","smart","forest",0.116076420369005,-0.0300012077588445,0.31530211505224,-0.0770663568146989,-0.00561084304804106,-0.0647651798438371
"165",100,1.14601901436178,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"166",100,1.1475495799572,"aipw","minimal","forest",0.0667715940007158,-0.0305200865855051,0.317259800802186,-0.12516295876251,-0.00534881286463517,-0.117561569955285
"167",100,0.966166967116092,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"168",100,1.6270536934389,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"169",100,0.889459984348501,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"170",100,1.1413282421756,"aipw.w","minimal","forest",0.0860363226056572,-0.0312962298728542,0.331918733545674,-0.125826168907979,-0.00550209538453007,-0.11891089621365
"171",100,0.863607732410285,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"172",100,0.992582009562391,"aipw","extended","forest",0.413881305919698,-0.0175625424235197,0.593302919864143,-0.0153496834375429,0.0154998603491547,-0.0296730803191385
"173",100,1.02844722147968,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"174",100,1.08834252807066,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"175",100,0.827483792499542,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"176",100,0.986014777030144,"aipw.w","extended","forest",0.418440072166734,-0.0193933053459623,0.59003098681922,-0.0165052040541978,0.0154708462765307,-0.0277053571810152
"177",100,0.873678156661891,"aipw","smart","forest",0.412373921736114,-0.011541064861,0.439462631659325,-0.0219768973544459,0.0153058760950379,-0.00869873642371016
"178",100,1.01879938843568,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"179",100,0.831126744023148,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"180",100,0.833311285807945,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"181",100,0.911147380383075,"aipw.w","smart","forest",0.392338250828022,-0.0137452307392064,0.465979030763925,-0.0144752924170139,0.0154191860899092,-0.00818912189445096
"182",100,0.718771588739359,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"183",100,0.739355209011424,"aipw","minimal","forest",0.466259911050321,-0.0124201833670571,0.368356892391499,-0.00445472955197242,0.0155450569138743,0.000132149997549739
"184",100,0.801792537731627,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"185",100,0.804996243356925,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"186",100,0.832671348120724,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"187",100,0.723088625653756,"aipw.w","minimal","forest",0.475107758726351,-0.0124242370476867,0.362562244538235,-0.0042861977714642,0.0153561463073499,-0.00113044176316222
"188",100,1.117350964387,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"189",100,1.18396816625699,"aipw","extended","forest",-0.376265392435341,0.00080797737521976,-0.158937467848379,-0.1861983482267,0.0183681993440063,-0.0863846101515268
"190",100,1.22097507201469,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"191",100,1.32274375027702,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"192",100,0.866826503594857,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"193",100,1.17572538836228,"aipw.w","extended","forest",-0.363327525989318,-0.000116909941008679,-0.155750784193102,-0.197630283971347,0.0183127730319185,-0.0953278273718208
"194",100,1.01281602941134,"aipw","smart","forest",-0.353667733065385,-0.0035512507165549,-0.297319338323244,-0.189471537630387,0.0159288133947167,-0.0930317925149846
"195",100,1.20592964348864,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"196",100,1.3875004156141,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"197",100,0.860027889553793,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"198",100,0.997730999898182,"aipw.w","smart","forest",-0.352272279293555,-0.00354224909877364,-0.304245708171473,-0.187176104961914,0.0156962076014562,-0.0972759615641273
"199",100,1.01373354750386,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"200",100,1.05028208903102,"aipw","minimal","forest",-0.310893687040541,-0.00268363521369248,-0.20967576907593,-0.162471720887587,0.0157488165864578,-0.0741230580695748
"201",100,1.14172046531817,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"202",100,1.47683993958467,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"203",100,0.860715508248396,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"204",100,1.04797345776674,"aipw.w","minimal","forest",-0.332594435715934,-0.0042566169752653,-0.236373698710263,-0.163862181620931,0.0155872535493541,-0.071090424309578
"205",100,1.174718044793,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"206",100,1.07737454939387,"aipw","extended","forest",-0.178923751706082,-0.00839266374733901,-0.101555781939352,0.0136627908889819,0.0094313168189175,0.0389073998186533
"207",100,1.10135091746419,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"208",100,1.02126374259909,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"209",100,0.974761970697466,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"210",100,1.09054801188653,"aipw.w","extended","forest",-0.17920543252975,-0.00837491011039868,-0.0889406461096499,0.0166714927911222,0.00928793011195277,0.0423183806301076
"211",100,1.08425129626319,"aipw","smart","forest",-0.168448537726758,-0.0126449264445559,-0.047562024212807,0.0226734467495127,0.00923351509755155,0.015726323219865
"212",100,1.08621186756025,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"213",100,0.830902436467323,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"214",100,0.970311906278883,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"215",100,1.12174491993972,"aipw.w","smart","forest",-0.192471561945732,-0.013057111195816,-0.0364117394956683,0.0154687407990228,0.00892877434790055,0.01155885751071
"216",100,0.983672812068002,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"217",100,1.08662696624834,"aipw","minimal","forest",-0.226645623362212,-0.0130171147014966,-0.078811803247582,0.0396649400115024,0.00939898922909114,0.00835289399173227
"218",100,1.05268416515186,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"219",100,0.901596590514182,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"220",100,0.970105192153482,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"221",100,1.09247171169239,"aipw.w","minimal","forest",-0.231671540480927,-0.0129348339636643,-0.082937677097233,0.0372525616825558,0.00925457226883053,0.0109473540601952
"222",100,0.832601452720176,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"223",100,0.765595396820506,"aipw","extended","forest",-0.0158508416022821,0.00084939543045483,0.00755184874035287,-0.0143974266406141,0.0106115403383475,-0.00367543245186247
"224",100,0.734745292954465,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"225",100,0.818184935594089,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"226",100,0.731470712289119,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"227",100,0.77729924271516,"aipw.w","extended","forest",-0.0277627252565401,0.00264263868139918,0.00619676252685574,-0.0173542323329799,0.0110704994796344,-0.00773739208256612
"228",100,0.74643015636609,"aipw","smart","forest",-0.0330157694949564,-0.00102684609435453,-0.00637445453870092,-0.0166230500506388,0.0105603393609733,-0.0263774784277401
"229",100,0.77410229721504,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"230",100,0.739821457071263,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"231",100,0.729543269786936,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"232",100,0.73588792228432,"aipw.w","smart","forest",-0.0241342060109121,-0.000473835568193759,-0.00420134916962452,-0.0145342105909984,0.0107284270325708,-0.0288435131326593
"233",100,0.726039349707838,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"234",100,0.689344344097423,"aipw","minimal","forest",0.0019970725871239,4.3879539107549e-05,-0.0162216398255927,0.0301583220139034,0.0106665490478741,0.0070011734167444
"235",100,0.670779720679713,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"236",100,0.704913769526034,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"237",100,0.730720205107298,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"238",100,0.687041766471012,"aipw.w","minimal","forest",0.00842772119614617,-0.000314133194495959,-0.00668875839396028,0.0320022047503669,0.0108037503494799,0.00366105713618468
"239",100,1.20718550754803,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
