"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"1",100,-0.21217864621886,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"2",100,-0.411528107047377,"aipw","extended","forest",0.551979361896829,-0.00672005657346461,-0.17861951120639,0.390579871091519,0.0145939229177041,-0.275955535733809
"3",100,-0.71585765014355,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"4",100,-0.392318085492781,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"5",100,0.985606172881169,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"6",100,-0.42304143961401,"aipw.w","extended","forest",0.554378319193581,-0.0062564394213155,-0.179004989099198,0.387793401871463,0.0156671517353105,-0.289007748300692
"7",100,-0.375040536795559,"aipw","smart","forest",0.557093055104521,-0.00179271818068007,-0.223127557931729,0.383740582152137,0.00894881828764575,-0.195967748251067
"8",100,-0.725523283658621,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"9",100,-0.258664403803077,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"10",100,0.984888406643895,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"11",100,-0.36747875170061,"aipw.w","smart","forest",0.560890724272529,-0.00189507792600578,-0.21102301401167,0.382603284830466,0.00804886469596478,-0.196847821892833
"12",100,-0.28131379451252,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"13",100,-0.419054737827691,"aipw","minimal","forest",0.491432558360048,-0.00138416633550077,-0.259125675086507,0.358217614122623,0.00989105588528187,-0.296518086345225
"14",100,-0.573900574087966,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"15",100,-0.219441439284947,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"16",100,0.986239196086711,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"17",100,-0.434406223862575,"aipw.w","minimal","forest",0.501790119252615,-0.00091667328150901,-0.255248755327856,0.365597059191685,0.0103507355201202,-0.29893665886596
"18",100,-0.20840558475998,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"19",100,-0.191596360836383,"aipw","extended","forest",0.46313982310973,0.00471645904945295,-0.19388059510699,0.361390474051349,0.00690925059232109,-0.182296957585998
"20",100,-0.363511217739162,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"21",100,-0.341878900980248,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"22",100,1.00911148901768,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"23",100,-0.19611898818662,"aipw.w","extended","forest",0.471717512050786,0.00540033615212057,-0.188841846310391,0.364246815746104,0.0072326457888605,-0.18143157539623
"24",100,0.00238846204286232,"aipw","smart","forest",0.461772018474426,0.00403463631473407,-0.213751548431816,0.366423877331782,0.00932373348030602,0.0334917571099348
"25",100,-0.357127748183689,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"26",100,-0.402487879981925,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"27",100,1.01084414917095,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"28",100,0.0182342658076285,"aipw.w","smart","forest",0.464274316722108,0.00567144240958124,-0.204061564917056,0.358574823757131,0.00996987633983763,0.0320178730785941
"29",100,-0.357445608153777,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"30",100,-0.150942298111142,"aipw","minimal","forest",0.484631142523355,0.00536405284823057,-0.270100964798492,0.333586288069531,0.0100849501208961,-0.0755586850648025
"31",100,-0.330122072391227,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"32",100,-0.396221806035841,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"33",100,1.01293478234504,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"34",100,-0.16569814568061,"aipw.w","minimal","forest",0.489257344652664,0.00430862005668489,-0.273321939286392,0.321919966624474,0.00990525118173922,-0.0928985457314147
"35",100,0.0294266924898313,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"36",100,-0.0816263445148735,"aipw","extended","forest",0.566907578993049,0.00784111922011623,-0.0781753293631083,0.0365382177593612,-0.0140126242000131,-0.394849253348123
"37",100,-0.347781396857805,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"38",100,-0.286818399875117,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"39",100,0.994844034948768,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"40",100,-0.0677795373383589,"aipw.w","extended","forest",0.566226272360928,0.00825791927550085,-0.0674746354573859,0.0479677963602375,-0.0140700003985748,-0.381314291965399
"41",100,0.015404608790029,"aipw","smart","forest",0.565731557907285,0.0118508095719784,-0.0324565880802778,0.0562996712783161,-0.01420884081536,-0.328765082629375
"42",100,-0.346362508491827,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"43",100,-0.240001930298841,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"44",100,0.998657508685283,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"45",100,0.0223490553027338,"aipw.w","smart","forest",0.575726649925818,0.0121174336003358,-0.0244297975984411,0.0520243868779724,-0.0147563745314293,-0.323846709292606
"46",100,0.0556863826534704,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"47",100,-0.00859174657685143,"aipw","minimal","forest",0.505782683836621,0.0121542773755922,-0.0533067644464965,-0.116341534651258,-0.0141867222399308,-0.564826928009319
"48",100,-0.25014307426648,"t-learner","minimal","forest",NA,NA,NA,NA,NA,NA
"49",100,-0.184668590840375,"ipw.cross.fit","minimal","forest",NA,NA,NA,NA,NA,NA
"50",100,0.998983095064326,"semi.oracle.aipw","minimal","forest",NA,NA,NA,NA,NA,NA
"51",100,-0.00331502664412688,"aipw.w","minimal","forest",0.514202342109281,0.0119494332686458,-0.0460088647197854,-0.11881472918019,-0.0144202646970238,-0.560463257495537
"52",100,0.560625677102161,"ipw","extended","forest",NA,NA,NA,NA,NA,NA
"53",100,0.428287593634937,"aipw","extended","forest",-1.76934380948199,-0.0590550336267146,-2.127285949626,-0.0672906583843379,-0.0117161590049177,-0.291759448749109
"54",100,0.267186045169809,"t-learner","extended","forest",NA,NA,NA,NA,NA,NA
"55",100,0.197909948711717,"ipw.cross.fit","extended","forest",NA,NA,NA,NA,NA,NA
"56",100,1.01069852414372,"semi.oracle.aipw","extended","forest",NA,NA,NA,NA,NA,NA
"57",100,0.456024109135689,"aipw.w","extended","forest",-1.78627019161444,-0.0584496866362807,-2.12325287640444,-0.0837636529351192,-0.0109948018189632,-0.302782087329534
"58",100,0.431156854236302,"aipw","smart","forest",-1.78585440838269,-0.0649013628282587,-2.1446100155506,-0.0695603301519769,-0.00601588412480747,-0.29020033857005
"59",100,0.25284655384662,"t-learner","smart","forest",NA,NA,NA,NA,NA,NA
"60",100,0.296316123972035,"ipw.cross.fit","smart","forest",NA,NA,NA,NA,NA,NA
"61",100,1.01055246982228,"semi.oracle.aipw","smart","forest",NA,NA,NA,NA,NA,NA
"62",100,0.448298381862397,"aipw.w","smart","forest",-1.74451422984672,-0.064852064393275,-2.09395584485888,-0.0771829142444354,-0.00576842247211398,-0.290292147279841
"63",100,0.448442032037456,"ipw","minimal","forest",NA,NA,NA,NA,NA,NA
"64",100,0.300781380585494,"aipw","minimal","forest",-1.81012008251941,-0.0643792193235092,-2.2339430743685,-0.0326456256032939,-0.0052852612187005,-0.319846489401845
